debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
18711,18711.1,strengthening,weak to strong,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4']","[['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18']]","['Pb3', 'Pb1', 'Pb2', 'Pb4']","[['18711.74'], ['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.5', '18711.13'], ['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18']]"
18711,18711.1,strengthening,strong to weak,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4']","[['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18']]","['Pb4', 'Pb2', 'Pb1', 'Pb3']","[['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18'], ['18711.5', '18711.13'], ['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.74']]"
18711,18711.1,strengthening,small to large,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4']","[['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18']]","['Pb3', 'Pb2', 'Pb1', 'Pb4']","[['18711.74'], ['18711.5', '18711.13'], ['18711.2', '18711.8', '18711.23', '18711.35', '18711.26', '18711.34'], ['18711.78', '18711.3', '18711.16', '18711.4', '18711.27', '18711.21', '18711.76', '18711.9', '18711.30', '18711.29', '18711.17', '18711.6', '18711.32', '18711.33', '18711.18']]"
18711,18711.1,strengthening,weak to strong,con-branches,"['Cb1', 'Cb2']","[['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12'], ['18711.10', '18711.11']]","['Cb2', 'Cb1']","[['18711.10', '18711.11'], ['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12']]"
18711,18711.1,strengthening,strong to weak,con-branches,"['Cb1', 'Cb2']","[['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12'], ['18711.10', '18711.11']]","['Cb1', 'Cb2']","[['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12'], ['18711.10', '18711.11']]"
18711,18711.1,strengthening,small to large,con-branches,"['Cb1', 'Cb2']","[['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12'], ['18711.10', '18711.11']]","['Cb2', 'Cb1']","[['18711.10', '18711.11'], ['18711.7', '18711.14', '18711.22', '18711.15', '18711.20', '18711.12']]"
18711,18711.1,strengthening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4']","[['18711.2', '18711.8'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17']]","['UnWPb3', 'UnWPb1', 'UnWPb2', 'UnWPb4']","[['18711.74'], ['18711.2', '18711.8'], ['18711.5', '18711.13'], ['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17']]"
18711,18711.1,strengthening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4']","[['18711.2', '18711.8'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17']]","['UnWPb4', 'UnWPb2', 'UnWPb1', 'UnWPb3']","[['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17'], ['18711.5', '18711.13'], ['18711.2', '18711.8'], ['18711.74']]"
18711,18711.1,strengthening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4']","[['18711.2', '18711.8'], ['18711.5', '18711.13'], ['18711.74'], ['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17']]","['UnWPb3', 'UnWPb1', 'UnWPb2', 'UnWPb4']","[['18711.74'], ['18711.2', '18711.8'], ['18711.5', '18711.13'], ['18711.78', '18711.3', '18711.16', '18711.76', '18711.9', '18711.17']]"
18711,18711.1,strengthening,weak to strong,unweakened con-branches,"['UnWCb1', 'UnWCb2']","[['18711.7', '18711.14', '18711.15', '18711.12'], ['18711.10', '18711.11']]","['UnWCb2', 'UnWCb1']","[['18711.10', '18711.11'], ['18711.7', '18711.14', '18711.15', '18711.12']]"
