debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
1257,1257.370,strengthening,weak to strong,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4', 'Pb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169', '1257.2177']]","['Pb1', 'Pb2', 'Pb3', 'Pb5', 'Pb4']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2157', '1257.2169', '1257.2177'], ['1257.2151', '1257.2153']]"
1257,1257.370,strengthening,strong to weak,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4', 'Pb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169', '1257.2177']]","['Pb4', 'Pb5', 'Pb1', 'Pb2', 'Pb3']","[['1257.2151', '1257.2153'], ['1257.2157', '1257.2169', '1257.2177'], ['1257.567'], ['1257.695'], ['1257.2149']]"
1257,1257.370,strengthening,small to large,pro-branches,"['Pb1', 'Pb2', 'Pb3', 'Pb4', 'Pb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169', '1257.2177']]","['Pb1', 'Pb2', 'Pb3', 'Pb4', 'Pb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169', '1257.2177']]"
1257,1257.370,strengthening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4', 'UnWPb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169']]","['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb5', 'UnWPb4']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2157', '1257.2169'], ['1257.2151', '1257.2153']]"
1257,1257.370,strengthening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4', 'UnWPb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169']]","['UnWPb4', 'UnWPb5', 'UnWPb1', 'UnWPb2', 'UnWPb3']","[['1257.2151', '1257.2153'], ['1257.2157', '1257.2169'], ['1257.567'], ['1257.695'], ['1257.2149']]"
1257,1257.370,strengthening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4', 'UnWPb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169']]","['UnWPb1', 'UnWPb2', 'UnWPb3', 'UnWPb4', 'UnWPb5']","[['1257.567'], ['1257.695'], ['1257.2149'], ['1257.2151', '1257.2153'], ['1257.2157', '1257.2169']]"
1257,1257.370,strengthening,weak to strong,pro-weakening branches,['PWb1'],[['1257.2177']],['PWb1'],[['1257.2177']]
1257,1257.370,strengthening,strong to weak,pro-weakening branches,['PWb1'],[['1257.2177']],['PWb1'],[['1257.2177']]
1257,1257.370,strengthening,small to large,pro-weakening branches,['PWb1'],[['1257.2177']],['PWb1'],[['1257.2177']]
