debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
34463,34463.15,weakening,weak to strong,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212'], ['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67']]","['Pb2', 'Pb1', 'Pb3']","[['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212'], ['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67']]"
34463,34463.15,weakening,strong to weak,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212'], ['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67']]","['Pb3', 'Pb1', 'Pb2']","[['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67'], ['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212']]"
34463,34463.15,weakening,small to large,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212'], ['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67']]","['Pb2', 'Pb1', 'Pb3']","[['34463.94', '34463.210', '34463.208', '34463.194', '34463.176', '34463.479', '34463.477', '34463.212'], ['34463.61', '34463.92', '34463.238', '34463.17', '34463.236', '34463.19', '34463.39', '34463.31', '34463.132', '34463.63'], ['34463.49', '34463.134', '34463.473', '34463.138', '34463.136', '34463.106', '34463.112', '34463.108', '34463.116', '34463.114', '34463.110', '34463.77', '34463.264', '34463.301', '34463.303', '34463.469', '34463.158', '34463.467', '34463.465', '34463.160', '34463.154', '34463.269', '34463.267', '34463.156', '34463.75', '34463.80', '34463.69', '34463.73', '34463.59', '34463.471', '34463.51', '34463.67']]"
34463,34463.15,weakening,weak to strong,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['34463.33', '34463.486', '34463.299', '34463.41'], ['34463.35', '34463.71', '34463.43'], ['34463.57', '34463.120', '34463.118'], ['34463.490']]","['Cb3', 'Cb2', 'Cb4', 'Cb1']","[['34463.57', '34463.120', '34463.118'], ['34463.35', '34463.71', '34463.43'], ['34463.490'], ['34463.33', '34463.486', '34463.299', '34463.41']]"
34463,34463.15,weakening,strong to weak,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['34463.33', '34463.486', '34463.299', '34463.41'], ['34463.35', '34463.71', '34463.43'], ['34463.57', '34463.120', '34463.118'], ['34463.490']]","['Cb1', 'Cb2', 'Cb4', 'Cb3']","[['34463.33', '34463.486', '34463.299', '34463.41'], ['34463.35', '34463.71', '34463.43'], ['34463.490'], ['34463.57', '34463.120', '34463.118']]"
34463,34463.15,weakening,small to large,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['34463.33', '34463.486', '34463.299', '34463.41'], ['34463.35', '34463.71', '34463.43'], ['34463.57', '34463.120', '34463.118'], ['34463.490']]","['Cb4', 'Cb2', 'Cb3', 'Cb1']","[['34463.490'], ['34463.35', '34463.71', '34463.43'], ['34463.57', '34463.120', '34463.118'], ['34463.33', '34463.486', '34463.299', '34463.41']]"
34463,34463.15,weakening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.94', '34463.210', '34463.208'], ['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67']]","['UnWPb2', 'UnWPb1', 'UnWPb3']","[['34463.94', '34463.210', '34463.208'], ['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67']]"
34463,34463.15,weakening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.94', '34463.210', '34463.208'], ['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67']]","['UnWPb3', 'UnWPb1', 'UnWPb2']","[['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67'], ['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.94', '34463.210', '34463.208']]"
34463,34463.15,weakening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.94', '34463.210', '34463.208'], ['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67']]","['UnWPb2', 'UnWPb1', 'UnWPb3']","[['34463.94', '34463.210', '34463.208'], ['34463.61', '34463.39', '34463.31', '34463.63'], ['34463.49', '34463.77', '34463.158', '34463.465', '34463.160', '34463.80', '34463.69', '34463.59', '34463.51', '34463.67']]"
34463,34463.15,weakening,weak to strong,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3', 'UnWCb4']","[['34463.33', '34463.486', '34463.299'], ['34463.35', '34463.43'], ['34463.57'], ['34463.490']]","['UnWCb3', 'UnWCb2', 'UnWCb4', 'UnWCb1']","[['34463.57'], ['34463.35', '34463.43'], ['34463.490'], ['34463.33', '34463.486', '34463.299']]"
