debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
30028,30028.49,strengthening,weak to strong,pro-branches,"['Pb1', 'Pb2']","[['30028.119'], ['30028.127']]","['Pb2', 'Pb1']","[['30028.127'], ['30028.119']]"
30028,30028.49,strengthening,strong to weak,pro-branches,"['Pb1', 'Pb2']","[['30028.119'], ['30028.127']]","['Pb1', 'Pb2']","[['30028.119'], ['30028.127']]"
30028,30028.49,strengthening,small to large,pro-branches,"['Pb1', 'Pb2']","[['30028.119'], ['30028.127']]","['Pb1', 'Pb2']","[['30028.119'], ['30028.127']]"
30028,30028.49,strengthening,weak to strong,con-branches,['Cb1'],"[['30028.125', '30028.129']]",['Cb1'],"[['30028.125', '30028.129']]"
30028,30028.49,strengthening,strong to weak,con-branches,['Cb1'],"[['30028.125', '30028.129']]",['Cb1'],"[['30028.125', '30028.129']]"
30028,30028.49,strengthening,small to large,con-branches,['Cb1'],"[['30028.125', '30028.129']]",['Cb1'],"[['30028.125', '30028.129']]"
30028,30028.49,strengthening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['30028.119'], ['30028.127']]","['UnWPb2', 'UnWPb1']","[['30028.127'], ['30028.119']]"
30028,30028.49,strengthening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['30028.119'], ['30028.127']]","['UnWPb1', 'UnWPb2']","[['30028.119'], ['30028.127']]"
30028,30028.49,strengthening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['30028.119'], ['30028.127']]","['UnWPb1', 'UnWPb2']","[['30028.119'], ['30028.127']]"
30028,30028.49,strengthening,weak to strong,unweakened con-branches,['UnWCb1'],[['30028.125']],['UnWCb1'],[['30028.125']]
30028,30028.49,strengthening,strong to weak,unweakened con-branches,['UnWCb1'],[['30028.125']],['UnWCb1'],[['30028.125']]
30028,30028.49,strengthening,small to large,unweakened con-branches,['UnWCb1'],[['30028.125']],['UnWCb1'],[['30028.125']]
30028,30028.49,strengthening,weak to strong,con-weakening branches,['CWb1'],[['30028.129']],['CWb1'],[['30028.129']]
30028,30028.49,strengthening,strong to weak,con-weakening branches,['CWb1'],[['30028.129']],['CWb1'],[['30028.129']]
30028,30028.49,strengthening,small to large,con-weakening branches,['CWb1'],[['30028.129']],['CWb1'],[['30028.129']]
