debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
23971,23971.2,weakening,weak to strong,pro-branches,['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]",['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]"
23971,23971.2,weakening,strong to weak,pro-branches,['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]",['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]"
23971,23971.2,weakening,small to large,pro-branches,['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]",['Pb1'],"[['23971.13', '23971.19', '23971.34', '23971.18', '23971.17', '23971.35', '23971.33', '23971.54', '23971.16']]"
23971,23971.2,weakening,weak to strong,con-branches,['Cb1'],"[['23971.10', '23971.36', '23971.25']]",['Cb1'],"[['23971.10', '23971.36', '23971.25']]"
23971,23971.2,weakening,strong to weak,con-branches,['Cb1'],"[['23971.10', '23971.36', '23971.25']]",['Cb1'],"[['23971.10', '23971.36', '23971.25']]"
23971,23971.2,weakening,small to large,con-branches,['Cb1'],"[['23971.10', '23971.36', '23971.25']]",['Cb1'],"[['23971.10', '23971.36', '23971.25']]"
23971,23971.2,weakening,weak to strong,unweakened pro-branches,['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]",['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]"
23971,23971.2,weakening,strong to weak,unweakened pro-branches,['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]",['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]"
23971,23971.2,weakening,small to large,unweakened pro-branches,['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]",['UnWPb1'],"[['23971.13', '23971.18', '23971.16']]"
23971,23971.2,weakening,weak to strong,unweakened con-branches,['UnWCb1'],"[['23971.10', '23971.25']]",['UnWCb1'],"[['23971.10', '23971.25']]"
23971,23971.2,weakening,strong to weak,unweakened con-branches,['UnWCb1'],"[['23971.10', '23971.25']]",['UnWCb1'],"[['23971.10', '23971.25']]"
23971,23971.2,weakening,small to large,unweakened con-branches,['UnWCb1'],"[['23971.10', '23971.25']]",['UnWCb1'],"[['23971.10', '23971.25']]"
23971,23971.2,weakening,weak to strong,pro-weakening branches,"['PWb1', 'PWb2']","[['23971.17', '23971.35', '23971.33', '23971.54'], ['23971.19', '23971.34']]","['PWb1', 'PWb2']","[['23971.17', '23971.35', '23971.33', '23971.54'], ['23971.19', '23971.34']]"
23971,23971.2,weakening,strong to weak,pro-weakening branches,"['PWb1', 'PWb2']","[['23971.17', '23971.35', '23971.33', '23971.54'], ['23971.19', '23971.34']]","['PWb2', 'PWb1']","[['23971.19', '23971.34'], ['23971.17', '23971.35', '23971.33', '23971.54']]"
23971,23971.2,weakening,small to large,pro-weakening branches,"['PWb1', 'PWb2']","[['23971.17', '23971.35', '23971.33', '23971.54'], ['23971.19', '23971.34']]","['PWb2', 'PWb1']","[['23971.19', '23971.34'], ['23971.17', '23971.35', '23971.33', '23971.54']]"
23971,23971.2,weakening,weak to strong,con-weakening branches,['CWb1'],[['23971.36']],['CWb1'],[['23971.36']]
23971,23971.2,weakening,strong to weak,con-weakening branches,['CWb1'],[['23971.36']],['CWb1'],[['23971.36']]
23971,23971.2,weakening,small to large,con-weakening branches,['CWb1'],[['23971.36']],['CWb1'],[['23971.36']]
