debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
45406,45406.3,weakening,weak to strong,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4', 'Cb5', 'Cb6']","[['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['Cb4', 'Cb1', 'Cb6', 'Cb5', 'Cb2', 'Cb3']","[['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.293', '45406.382'], ['45406.290', '45406.288'], ['45406.179', '45406.388'], ['45406.211']]"
45406,45406.3,weakening,strong to weak,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4', 'Cb5', 'Cb6']","[['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['Cb2', 'Cb3', 'Cb5', 'Cb6', 'Cb1', 'Cb4']","[['45406.179', '45406.388'], ['45406.211'], ['45406.290', '45406.288'], ['45406.293', '45406.382'], ['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299']]"
45406,45406.3,weakening,small to large,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4', 'Cb5', 'Cb6']","[['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['Cb3', 'Cb2', 'Cb5', 'Cb6', 'Cb1', 'Cb4']","[['45406.211'], ['45406.179', '45406.388'], ['45406.290', '45406.288'], ['45406.293', '45406.382'], ['45406.9', '45406.222', '45406.282', '45406.207', '45406.311', '45406.88', '45406.209', '45406.11', '45406.109', '45406.313', '45406.25', '45406.29', '45406.27', '45406.315', '45406.23', '45406.189', '45406.21', '45406.107', '45406.19', '45406.17', '45406.15', '45406.187', '45406.13'], ['45406.215', '45406.333', '45406.224', '45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331', '45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299']]"
45406,45406.3,weakening,weak to strong,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3', 'UnWCb4', 'UnWCb5', 'UnWCb6']","[['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.224'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['UnWCb4', 'UnWCb1', 'UnWCb6', 'UnWCb5', 'UnWCb2', 'UnWCb3']","[['45406.215', '45406.224'], ['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13'], ['45406.293', '45406.382'], ['45406.290', '45406.288'], ['45406.179', '45406.388'], ['45406.211']]"
45406,45406.3,weakening,strong to weak,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3', 'UnWCb4', 'UnWCb5', 'UnWCb6']","[['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.224'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['UnWCb2', 'UnWCb3', 'UnWCb5', 'UnWCb6', 'UnWCb1', 'UnWCb4']","[['45406.179', '45406.388'], ['45406.211'], ['45406.290', '45406.288'], ['45406.293', '45406.382'], ['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13'], ['45406.215', '45406.224']]"
45406,45406.3,weakening,small to large,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3', 'UnWCb4', 'UnWCb5', 'UnWCb6']","[['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13'], ['45406.179', '45406.388'], ['45406.211'], ['45406.215', '45406.224'], ['45406.290', '45406.288'], ['45406.293', '45406.382']]","['UnWCb3', 'UnWCb2', 'UnWCb4', 'UnWCb5', 'UnWCb6', 'UnWCb1']","[['45406.211'], ['45406.179', '45406.388'], ['45406.215', '45406.224'], ['45406.290', '45406.288'], ['45406.293', '45406.382'], ['45406.9', '45406.11', '45406.23', '45406.21', '45406.19', '45406.17', '45406.15', '45406.13']]"
45406,45406.3,weakening,weak to strong,con-weakening branches,"['CWb1', 'CWb2', 'CWb3', 'CWb4', 'CWb5', 'CWb6', 'CWb7', 'CWb8', 'CWb9', 'CWb10', 'CWb11']","[['45406.88', '45406.209'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.333'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.109', '45406.313'], ['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331'], ['45406.187'], ['45406.107'], ['45406.189']]","['CWb1', 'CWb2', 'CWb3', 'CWb7', 'CWb5', 'CWb9', 'CWb10', 'CWb11', 'CWb4', 'CWb6', 'CWb8']","[['45406.88', '45406.209'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.109', '45406.313'], ['45406.333'], ['45406.187'], ['45406.107'], ['45406.189'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331']]"
45406,45406.3,weakening,strong to weak,con-weakening branches,"['CWb1', 'CWb2', 'CWb3', 'CWb4', 'CWb5', 'CWb6', 'CWb7', 'CWb8', 'CWb9', 'CWb10', 'CWb11']","[['45406.88', '45406.209'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.333'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.109', '45406.313'], ['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331'], ['45406.187'], ['45406.107'], ['45406.189']]","['CWb8', 'CWb6', 'CWb4', 'CWb5', 'CWb9', 'CWb10', 'CWb11', 'CWb2', 'CWb3', 'CWb7', 'CWb1']","[['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.333'], ['45406.187'], ['45406.107'], ['45406.189'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.109', '45406.313'], ['45406.88', '45406.209']]"
45406,45406.3,weakening,small to large,con-weakening branches,"['CWb1', 'CWb2', 'CWb3', 'CWb4', 'CWb5', 'CWb6', 'CWb7', 'CWb8', 'CWb9', 'CWb10', 'CWb11']","[['45406.88', '45406.209'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.333'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.109', '45406.313'], ['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331'], ['45406.187'], ['45406.107'], ['45406.189']]","['CWb5', 'CWb9', 'CWb10', 'CWb11', 'CWb1', 'CWb2', 'CWb3', 'CWb7', 'CWb6', 'CWb4', 'CWb8']","[['45406.333'], ['45406.187'], ['45406.107'], ['45406.189'], ['45406.88', '45406.209'], ['45406.207', '45406.311'], ['45406.222', '45406.282'], ['45406.109', '45406.313'], ['45406.25', '45406.29', '45406.27', '45406.315'], ['45406.218', '45406.220', '45406.226', '45406.297', '45406.301', '45406.303', '45406.295', '45406.244', '45406.246', '45406.299'], ['45406.248', '45406.317', '45406.272', '45406.305', '45406.274', '45406.256', '45406.260', '45406.258', '45406.270', '45406.278', '45406.254', '45406.307', '45406.252', '45406.309', '45406.250', '45406.319', '45406.321', '45406.327', '45406.329', '45406.325', '45406.323', '45406.276', '45406.331']]"
