debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
38529,38529.3,weakening,weak to strong,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['38529.5', '38529.48'], ['38529.7', '38529.27'], ['38529.9']]","['Pb1', 'Pb2', 'Pb3']","[['38529.5', '38529.48'], ['38529.7', '38529.27'], ['38529.9']]"
38529,38529.3,weakening,strong to weak,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['38529.5', '38529.48'], ['38529.7', '38529.27'], ['38529.9']]","['Pb2', 'Pb3', 'Pb1']","[['38529.7', '38529.27'], ['38529.9'], ['38529.5', '38529.48']]"
38529,38529.3,weakening,small to large,pro-branches,"['Pb1', 'Pb2', 'Pb3']","[['38529.5', '38529.48'], ['38529.7', '38529.27'], ['38529.9']]","['Pb3', 'Pb1', 'Pb2']","[['38529.9'], ['38529.5', '38529.48'], ['38529.7', '38529.27']]"
38529,38529.3,weakening,weak to strong,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25'], ['38529.15', '38529.19', '38529.21', '38529.17'], ['38529.50', '38529.52']]","['Cb3', 'Cb1', 'Cb4', 'Cb2']","[['38529.15', '38529.19', '38529.21', '38529.17'], ['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.50', '38529.52'], ['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25']]"
38529,38529.3,weakening,strong to weak,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25'], ['38529.15', '38529.19', '38529.21', '38529.17'], ['38529.50', '38529.52']]","['Cb2', 'Cb4', 'Cb1', 'Cb3']","[['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25'], ['38529.50', '38529.52'], ['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.15', '38529.19', '38529.21', '38529.17']]"
38529,38529.3,weakening,small to large,con-branches,"['Cb1', 'Cb2', 'Cb3', 'Cb4']","[['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25'], ['38529.15', '38529.19', '38529.21', '38529.17'], ['38529.50', '38529.52']]","['Cb4', 'Cb3', 'Cb1', 'Cb2']","[['38529.50', '38529.52'], ['38529.15', '38529.19', '38529.21', '38529.17'], ['38529.11', '38529.44', '38529.42', '38529.39', '38529.35', '38529.33'], ['38529.13', '38529.46', '38529.23', '38529.31', '38529.29', '38529.25']]"
38529,38529.3,weakening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['38529.5'], ['38529.7', '38529.27'], ['38529.9']]","['UnWPb1', 'UnWPb2', 'UnWPb3']","[['38529.5'], ['38529.7', '38529.27'], ['38529.9']]"
38529,38529.3,weakening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['38529.5'], ['38529.7', '38529.27'], ['38529.9']]","['UnWPb2', 'UnWPb3', 'UnWPb1']","[['38529.7', '38529.27'], ['38529.9'], ['38529.5']]"
38529,38529.3,weakening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2', 'UnWPb3']","[['38529.5'], ['38529.7', '38529.27'], ['38529.9']]","['UnWPb1', 'UnWPb3', 'UnWPb2']","[['38529.5'], ['38529.9'], ['38529.7', '38529.27']]"
38529,38529.3,weakening,weak to strong,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3', 'UnWCb4']","[['38529.11', '38529.39', '38529.35', '38529.33'], ['38529.13', '38529.46'], ['38529.15'], ['38529.50', '38529.52']]","['UnWCb3', 'UnWCb1', 'UnWCb4', 'UnWCb2']","[['38529.15'], ['38529.11', '38529.39', '38529.35', '38529.33'], ['38529.50', '38529.52'], ['38529.13', '38529.46']]"
