explanation_type,heuristic,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p
constructive,small_to_large,4326,-0.5931774377387802,0.0,-0.6428200267669555,0.0
constructive,strong_to_weak,4326,-0.5627028732650206,0.0,-0.6263322688696993,0.0
constructive,weak_to_strong,4326,-0.5588348753361582,0.0,-0.6275699673780296,0.0
destructive,small_to_large,4326,-0.6237832670513521,0.0,-0.6935220411010817,0.0
destructive,strong_to_weak,4326,-0.5629596512228224,0.0,-0.6701866601274656,0.0
destructive,weak_to_strong,4326,-0.5605480268165999,0.0,-0.6785064246175896,0.0
