Branch_Type,Branch_ID,Size,Arguments
# Debate File:,14053_T1of1_14053.1.json,,
# Target Argument:,14053.1,,
# Total Branches:,32,,

Pro-branch,Pb1,25,"14053.7,14053.362,14053.50,14053.365,14053.1178,14053.1261,14053.27,14053.1259,14053.486,14053.143,14053.364,14053.1264,14053.368,14053.1232,14053.1230,14053.14,14053.1303,14053.512,14053.1301,14053.15,14053.422,14053.13,14053.1257,14053.1223,14053.1221"
Pro-branch,Pb2,20,"14053.9,14053.1031,14053.1327,14053.1247,14053.1033,14053.309,14053.1245,14053.1243,14053.170,14053.1323,14053.1321,14053.1309,14053.1307,14053.10,14053.1329,14053.221,14053.12,14053.1251,14053.1249,14053.225"
Con-branch,Cb1,17,"14053.167,14053.278,14053.1346,14053.584,14053.205,14053.1352,14053.1040,14053.1206,14053.1362,14053.1370,14053.1358,14053.1356,14053.1354,14053.491,14053.479,14053.513,14053.158"
Con-branch,Cb2,43,"14053.1271,14053.212,14053.498,14053.306,14053.248,14053.535,14053.329,14053.1255,14053.336,14053.525,14053.277,14053.324,14053.1239,14053.1228,14053.1226,14053.454,14053.505,14053.503,14053.4,14053.187,14053.583,14053.453,14053.342,14053.301,14053.409,14053.102,14053.553,14053.1027,14053.139,14053.135,14053.1344,14053.1342,14053.128,14053.29,14053.39,14053.101,14053.47,14053.100,14053.42,14053.83,14053.147,14053.1029,14053.441"
Unweakened Pro-branch,UnWPb1,7,"14053.7,14053.14,14053.1301,14053.422,14053.13,14053.1223,14053.1221"
Unweakened Pro-branch,UnWPb2,7,"14053.9,14053.170,14053.1323,14053.1307,14053.10,14053.221,14053.225"
Unweakened Con-branch,UnWCb1,3,"14053.167,14053.278,14053.1346"
Unweakened Con-branch,UnWCb2,7,"14053.1271,14053.535,14053.329,14053.1255,14053.4,14053.453,14053.29"
Pro-Weakening branch,PWb1,11,"14053.1178,14053.1261,14053.27,14053.1259,14053.486,14053.143,14053.364,14053.1264,14053.368,14053.1232,14053.1230"
Pro-Weakening branch,PWb2,3,"14053.309,14053.1245,14053.1243"
Pro-Weakening branch,PWb3,4,"14053.1031,14053.1327,14053.1247,14053.1033"
Pro-Weakening branch,PWb4,1,14053.1257
Pro-Weakening branch,PWb5,1,14053.15
Pro-Weakening branch,PWb6,2,"14053.1303,14053.512"
Pro-Weakening branch,PWb7,3,"14053.12,14053.1251,14053.1249"
Pro-Weakening branch,PWb8,1,14053.1329
Pro-Weakening branch,PWb9,1,14053.1309
Pro-Weakening branch,PWb10,1,14053.1321
Con-Weakening branch,CWb1,4,"14053.491,14053.479,14053.513,14053.158"
Con-Weakening branch,CWb2,6,"14053.1206,14053.1362,14053.1370,14053.1358,14053.1356,14053.1354"
Con-Weakening branch,CWb3,4,"14053.135,14053.1344,14053.1342,14053.128"
Con-Weakening branch,CWb4,4,"14053.212,14053.498,14053.306,14053.248"
Con-Weakening branch,CWb5,3,"14053.205,14053.1352,14053.1040"
Con-Weakening branch,CWb6,1,14053.584
Con-Weakening branch,CWb7,1,14053.100
Con-Weakening branch,CWb8,3,"14053.39,14053.101,14053.47"
Con-Weakening branch,CWb9,3,"14053.454,14053.505,14053.503"
Con-Weakening branch,CWb10,6,"14053.525,14053.277,14053.324,14053.1239,14053.1228,14053.1226"
Con-Weakening branch,CWb11,4,"14053.102,14053.553,14053.1027,14053.139"
Con-Weakening branch,CWb12,1,14053.583
Con-Weakening branch,CWb13,1,14053.187
Con-Weakening branch,CWb14,1,14053.336
