Branch_Type,Branch_ID,Size,Arguments
# Debate File:,18642_T3of3_18642.263.json,,
# Target Argument:,18642.263,,
# Total Branches:,13,,

Pro-branch,Pb1,4,"18642.265,18642.289,18642.287,18642.279"
Con-branch,Cb1,1,18642.291
Con-branch,Cb2,5,"18642.293,18642.299,18642.297,18642.312,18642.295"
Con-branch,Cb3,1,18642.301
Con-branch,Cb4,2,"18642.307,18642.305"
Unweakened Pro-branch,UnWPb1,4,"18642.265,18642.289,18642.287,18642.279"
Unweakened Con-branch,UnWCb1,1,18642.291
Unweakened Con-branch,UnWCb2,2,"18642.293,18642.297"
Unweakened Con-branch,UnWCb3,1,18642.301
Unweakened Con-branch,UnWCb4,2,"18642.307,18642.305"
Con-Weakening branch,CWb1,1,18642.295
Con-Weakening branch,CWb2,1,18642.299
Con-Weakening branch,CWb3,1,18642.312
