Branch_Type,Branch_ID,Size,Arguments
# Debate File:,23038_T1of1_23038.1.json,,
# Target Argument:,23038.1,,
# Total Branches:,26,,

Pro-branch,Pb1,2,"23038.2,23038.27"
Pro-branch,Pb2,4,"23038.6,23038.16,23038.77,23038.17"
Pro-branch,Pb3,4,"23038.8,23038.28,23038.25,23038.26"
Pro-branch,Pb4,5,"23038.9,23038.65,23038.67,23038.30,23038.14"
Con-branch,Cb1,4,"23038.3,23038.11,23038.12,23038.13"
Con-branch,Cb2,3,"23038.4,23038.29,23038.21"
Con-branch,Cb3,4,"23038.7,23038.63,23038.5,23038.19"
Con-branch,Cb4,5,"23038.10,23038.24,23038.15,23038.20,23038.18"
Con-branch,Cb5,5,"23038.61,23038.75,23038.73,23038.71,23038.69"
Unweakened Pro-branch,UnWPb1,2,"23038.2,23038.27"
Unweakened Pro-branch,UnWPb2,4,"23038.6,23038.16,23038.77,23038.17"
Unweakened Pro-branch,UnWPb3,4,"23038.8,23038.28,23038.25,23038.26"
Unweakened Pro-branch,UnWPb4,4,"23038.9,23038.65,23038.67,23038.30"
Unweakened Con-branch,UnWCb1,1,23038.3
Unweakened Con-branch,UnWCb2,1,23038.4
Unweakened Con-branch,UnWCb3,3,"23038.7,23038.63,23038.5"
Unweakened Con-branch,UnWCb4,4,"23038.10,23038.24,23038.15,23038.20"
Unweakened Con-branch,UnWCb5,2,"23038.61,23038.75"
Pro-Weakening branch,PWb1,1,23038.14
Con-Weakening branch,CWb1,3,"23038.11,23038.12,23038.13"
Con-Weakening branch,CWb2,1,23038.21
Con-Weakening branch,CWb3,1,23038.29
Con-Weakening branch,CWb4,1,23038.19
Con-Weakening branch,CWb5,1,23038.69
Con-Weakening branch,CWb6,1,23038.71
Con-Weakening branch,CWb7,1,23038.73
