Branch_Type,Branch_ID,Size,Arguments
# Debate File:,49616_T1of1_49616.3.json,,
# Target Argument:,49616.3,,
# Total Branches:,27,,

Pro-branch,Pb1,6,"49616.5,49616.67,49616.83,49616.7,49616.57,49616.37"
Pro-branch,Pb2,1,49616.9
Pro-branch,Pb3,3,"49616.11,49616.33,49616.35"
Con-branch,Cb1,7,"49616.13,49616.69,49616.41,49616.45,49616.43,49616.19,49616.27"
Con-branch,Cb2,2,"49616.15,49616.29"
Con-branch,Cb3,8,"49616.17,49616.63,49616.61,49616.59,49616.23,49616.25,49616.21,49616.65"
Con-branch,Cb4,1,49616.31
Con-branch,Cb5,1,49616.39
Con-branch,Cb6,5,"49616.47,49616.55,49616.53,49616.51,49616.49"
Unweakened Pro-branch,UnWPb1,2,"49616.5,49616.7"
Unweakened Pro-branch,UnWPb2,1,49616.9
Unweakened Pro-branch,UnWPb3,1,49616.11
Unweakened Con-branch,UnWCb1,2,"49616.13,49616.69"
Unweakened Con-branch,UnWCb2,1,49616.15
Unweakened Con-branch,UnWCb3,4,"49616.17,49616.63,49616.61,49616.59"
Unweakened Con-branch,UnWCb4,1,49616.31
Unweakened Con-branch,UnWCb5,1,49616.39
Unweakened Con-branch,UnWCb6,5,"49616.47,49616.55,49616.53,49616.51,49616.49"
Pro-Weakening branch,PWb1,2,"49616.67,49616.83"
Pro-Weakening branch,PWb2,2,"49616.33,49616.35"
Pro-Weakening branch,PWb3,1,49616.37
Pro-Weakening branch,PWb4,1,49616.57
Con-Weakening branch,CWb1,2,"49616.19,49616.27"
Con-Weakening branch,CWb2,3,"49616.41,49616.45,49616.43"
Con-Weakening branch,CWb3,1,49616.29
Con-Weakening branch,CWb4,2,"49616.21,49616.65"
Con-Weakening branch,CWb5,2,"49616.23,49616.25"
