Branch_Type,Branch_ID,Size,Arguments
# Debate File:,21674_T1of1_21674.1.json,,
# Target Argument:,21674.1,,
# Total Branches:,20,,

Pro-branch,Pb1,3,"21674.2,21674.43,21674.17"
Pro-branch,Pb2,2,"21674.8,21674.11"
Pro-branch,Pb3,2,"21674.12,21674.41"
Con-branch,Cb1,5,"21674.3,21674.5,21674.22,21674.20,21674.4"
Con-branch,Cb2,2,"21674.6,21674.19"
Con-branch,Cb3,1,21674.7
Con-branch,Cb4,2,"21674.9,21674.10"
Unweakened Pro-branch,UnWPb1,1,21674.2
Unweakened Pro-branch,UnWPb2,2,"21674.8,21674.11"
Unweakened Pro-branch,UnWPb3,1,21674.12
Unweakened Con-branch,UnWCb1,1,21674.3
Unweakened Con-branch,UnWCb2,1,21674.6
Unweakened Con-branch,UnWCb3,1,21674.7
Unweakened Con-branch,UnWCb4,2,"21674.9,21674.10"
Pro-Weakening branch,PWb1,1,21674.17
Pro-Weakening branch,PWb2,1,21674.43
Pro-Weakening branch,PWb3,1,21674.41
Con-Weakening branch,CWb1,1,21674.4
Con-Weakening branch,CWb2,3,"21674.5,21674.22,21674.20"
Con-Weakening branch,CWb3,1,21674.19
