Branch_Type,Branch_ID,Size,Arguments
# Debate File:,12134_T1of1_12134.1.json,,
# Target Argument:,12134.1,,
# Total Branches:,19,,

Pro-branch,Pb1,1,12134.3
Pro-branch,Pb2,1,12134.4
Pro-branch,Pb3,2,"12134.5,12134.10"
Pro-branch,Pb4,1,12134.9
Con-branch,Cb1,1,12134.2
Con-branch,Cb2,1,12134.6
Con-branch,Cb3,1,12134.7
Con-branch,Cb4,1,12134.8
Con-branch,Cb5,1,12134.11
Unweakened Pro-branch,UnWPb1,1,12134.3
Unweakened Pro-branch,UnWPb2,1,12134.4
Unweakened Pro-branch,UnWPb3,1,12134.5
Unweakened Pro-branch,UnWPb4,1,12134.9
Unweakened Con-branch,UnWCb1,1,12134.2
Unweakened Con-branch,UnWCb2,1,12134.6
Unweakened Con-branch,UnWCb3,1,12134.7
Unweakened Con-branch,UnWCb4,1,12134.8
Unweakened Con-branch,UnWCb5,1,12134.11
Pro-Weakening branch,PWb1,1,12134.10
