Branch_Type,Branch_ID,Size,Arguments
# Debate File:,59820_T2of5_59820.5.json,,
# Target Argument:,59820.5,,
# Total Branches:,16,,

Pro-branch,Pb1,5,"59820.17,59820.259,59820.321,59820.96,59820.319"
Pro-branch,Pb2,14,"59820.182,59820.257,59820.316,59820.312,59820.314,59820.310,59820.255,59820.308,59820.215,59820.217,59820.170,59820.377,59820.81,59820.253"
Con-branch,Cb1,10,"59820.19,59820.185,59820.263,59820.395,59820.189,59820.187,59820.83,59820.326,59820.261,59820.323"
Con-branch,Cb2,8,"59820.142,59820.265,59820.328,59820.194,59820.267,59820.249,59820.144,59820.192"
Unweakened Pro-branch,UnWPb1,4,"59820.17,59820.259,59820.321,59820.96"
Unweakened Pro-branch,UnWPb2,4,"59820.182,59820.255,59820.308,59820.81"
Unweakened Con-branch,UnWCb1,4,"59820.19,59820.83,59820.261,59820.323"
Unweakened Con-branch,UnWCb2,4,"59820.142,59820.265,59820.144,59820.192"
Pro-Weakening branch,PWb1,4,"59820.215,59820.217,59820.170,59820.377"
Pro-Weakening branch,PWb2,5,"59820.257,59820.316,59820.312,59820.314,59820.310"
Pro-Weakening branch,PWb3,1,59820.319
Pro-Weakening branch,PWb4,1,59820.253
Con-Weakening branch,CWb1,5,"59820.185,59820.263,59820.395,59820.189,59820.187"
Con-Weakening branch,CWb2,3,"59820.194,59820.267,59820.249"
Con-Weakening branch,CWb3,1,59820.326
Con-Weakening branch,CWb4,1,59820.328
