Branch_Type,Branch_ID,Size,Arguments
# Debate File:,1257_T19of152_1257.50.json,,
# Target Argument:,1257.50,,
# Total Branches:,17,,

Pro-branch,Pb1,2,"1257.52,1257.1071"
Pro-branch,Pb2,1,1257.673
Pro-branch,Pb3,1,1257.698
Pro-branch,Pb4,1,1257.697
Pro-branch,Pb5,1,1257.716
Con-branch,Cb1,2,"1257.665,1257.944"
Con-branch,Cb2,2,"1257.725,1257.943"
Unweakened Pro-branch,UnWPb1,1,1257.52
Unweakened Pro-branch,UnWPb2,1,1257.673
Unweakened Pro-branch,UnWPb3,1,1257.698
Unweakened Pro-branch,UnWPb4,1,1257.697
Unweakened Pro-branch,UnWPb5,1,1257.716
Unweakened Con-branch,UnWCb1,1,1257.665
Unweakened Con-branch,UnWCb2,1,1257.725
Pro-Weakening branch,PWb1,1,1257.1071
Con-Weakening branch,CWb1,1,1257.944
Con-Weakening branch,CWb2,1,1257.943
