Branch_Type,Branch_ID,Size,Arguments
# Debate File:,55822_T11of11_55822.528.json,,
# Target Argument:,55822.528,,
# Total Branches:,12,,

Pro-branch,Pb1,4,"55822.531,55822.873,55822.781,55822.779"
Pro-branch,Pb2,3,"55822.535,55822.714,55822.621"
Con-branch,Cb1,3,"55822.623,55822.777,55822.775"
Con-branch,Cb2,3,"55822.625,55822.801,55822.783"
Unweakened Pro-branch,UnWPb1,3,"55822.531,55822.873,55822.779"
Unweakened Pro-branch,UnWPb2,2,"55822.535,55822.621"
Unweakened Con-branch,UnWCb1,2,"55822.623,55822.777"
Unweakened Con-branch,UnWCb2,2,"55822.625,55822.801"
Pro-Weakening branch,PWb1,1,55822.781
Pro-Weakening branch,PWb2,1,55822.714
Con-Weakening branch,CWb1,1,55822.775
Con-Weakening branch,CWb2,1,55822.783
