Branch_Type,Branch_ID,Size,Arguments
# Debate File:,10220_T1of1_10220.1.json,,
# Target Argument:,10220.1,,
# Total Branches:,33,,

Pro-branch,Pb1,16,"10220.154,10220.643,10220.649,10220.595,10220.599,10220.582,10220.367,10220.7,10220.633,10220.169,10220.635,10220.2,10220.84,10220.144,10220.157,10220.69"
Pro-branch,Pb2,6,"10220.164,10220.368,10220.14,10220.140,10220.19,10220.28"
Pro-branch,Pb3,46,"10220.173,10220.597,10220.4,10220.67,10220.6,10220.26,10220.88,10220.49,10220.75,10220.235,10220.102,10220.371,10220.237,10220.236,10220.5,10220.71,10220.81,10220.27,10220.24,10220.232,10220.159,10220.574,10220.3,10220.50,10220.57,10220.15,10220.576,10220.110,10220.68,10220.62,10220.117,10220.34,10220.122,10220.72,10220.38,10220.97,10220.35,10220.98,10220.33,10220.100,10220.30,10220.54,10220.61,10220.60,10220.31,10220.23"
Pro-branch,Pb4,3,"10220.593,10220.603,10220.601"
Pro-branch,Pb5,4,"10220.625,10220.627,10220.631,10220.629"
Con-branch,Cb1,8,"10220.66,10220.647,10220.83,10220.89,10220.572,10220.125,10220.86,10220.659"
Con-branch,Cb2,2,"10220.585,10220.645"
Con-branch,Cb3,2,"10220.609,10220.623"
Unweakened Pro-branch,UnWPb1,9,"10220.154,10220.595,10220.599,10220.7,10220.633,10220.169,10220.635,10220.2,10220.84"
Unweakened Pro-branch,UnWPb2,5,"10220.164,10220.14,10220.140,10220.19,10220.28"
Unweakened Pro-branch,UnWPb3,6,"10220.173,10220.597,10220.159,10220.3,10220.50,10220.57"
Unweakened Pro-branch,UnWPb4,1,10220.593
Unweakened Pro-branch,UnWPb5,1,10220.625
Unweakened Con-branch,UnWCb1,2,"10220.66,10220.86"
Unweakened Con-branch,UnWCb2,1,10220.585
Unweakened Con-branch,UnWCb3,2,"10220.609,10220.623"
Pro-Weakening branch,PWb1,1,10220.367
Pro-Weakening branch,PWb2,1,10220.582
Pro-Weakening branch,PWb3,2,"10220.643,10220.649"
Pro-Weakening branch,PWb4,1,10220.368
Pro-Weakening branch,PWb5,18,"10220.4,10220.67,10220.6,10220.26,10220.88,10220.49,10220.75,10220.235,10220.102,10220.371,10220.237,10220.236,10220.5,10220.71,10220.81,10220.27,10220.24,10220.232"
Pro-Weakening branch,PWb6,1,10220.601
Pro-Weakening branch,PWb7,1,10220.603
Pro-Weakening branch,PWb8,3,"10220.627,10220.631,10220.629"
Pro-Weakening branch,PWb9,1,10220.69
Pro-Weakening branch,PWb10,1,10220.157
Pro-Weakening branch,PWb11,1,10220.144
Pro-Weakening branch,PWb12,1,10220.574
Con-Weakening branch,CWb1,3,"10220.89,10220.572,10220.125"
Con-Weakening branch,CWb2,1,10220.83
Con-Weakening branch,CWb3,1,10220.647
Con-Weakening branch,CWb4,1,10220.645
Con-Weakening branch,CWb5,1,10220.659
