Branch_Type,Branch_ID,Size,Arguments
# Debate File:,15897_T1of3_15897.1.json,,
# Target Argument:,15897.1,,
# Total Branches:,31,,

Pro-branch,Pb1,4,"15897.4,15897.48,15897.51,15897.35"
Pro-branch,Pb2,2,"15897.5,15897.34"
Pro-branch,Pb3,3,"15897.6,15897.52,15897.33"
Pro-branch,Pb4,2,"15897.7,15897.32"
Pro-branch,Pb5,2,"15897.8,15897.31"
Pro-branch,Pb6,2,"15897.16,15897.30"
Pro-branch,Pb7,3,"15897.17,15897.45,15897.28"
Pro-branch,Pb8,3,"15897.22,15897.55,15897.29"
Pro-branch,Pb9,1,15897.44
Pro-branch,Pb10,1,15897.54
Con-branch,Cb1,2,"15897.9,15897.47"
Unweakened Pro-branch,UnWPb1,1,15897.4
Unweakened Pro-branch,UnWPb2,1,15897.5
Unweakened Pro-branch,UnWPb3,2,"15897.6,15897.52"
Unweakened Pro-branch,UnWPb4,1,15897.7
Unweakened Pro-branch,UnWPb5,1,15897.8
Unweakened Pro-branch,UnWPb6,1,15897.16
Unweakened Pro-branch,UnWPb7,1,15897.17
Unweakened Pro-branch,UnWPb8,1,15897.22
Unweakened Pro-branch,UnWPb9,1,15897.44
Unweakened Pro-branch,UnWPb10,1,15897.54
Unweakened Con-branch,UnWCb1,2,"15897.9,15897.47"
Pro-Weakening branch,PWb1,1,15897.35
Pro-Weakening branch,PWb2,2,"15897.48,15897.51"
Pro-Weakening branch,PWb3,1,15897.34
Pro-Weakening branch,PWb4,1,15897.31
Pro-Weakening branch,PWb5,1,15897.30
Pro-Weakening branch,PWb6,1,15897.28
Pro-Weakening branch,PWb7,1,15897.45
Pro-Weakening branch,PWb8,1,15897.29
Pro-Weakening branch,PWb9,1,15897.55
