Branch_Type,Branch_ID,Size,Arguments
# Debate File:,28772_T13of23_28772.218.json,,
# Target Argument:,28772.218,,
# Total Branches:,13,,

Pro-branch,Pb1,3,"28772.222,28772.491,28772.230"
Pro-branch,Pb2,3,"28772.232,28772.469,28772.467"
Pro-branch,Pb3,5,"28772.234,28772.238,28772.242,28772.240,28772.236"
Con-branch,Cb1,2,"28772.258,28772.260"
Con-branch,Cb2,1,28772.493
Unweakened Pro-branch,UnWPb1,2,"28772.222,28772.230"
Unweakened Pro-branch,UnWPb2,2,"28772.232,28772.467"
Unweakened Pro-branch,UnWPb3,2,"28772.234,28772.236"
Unweakened Con-branch,UnWCb1,2,"28772.258,28772.260"
Unweakened Con-branch,UnWCb2,1,28772.493
Pro-Weakening branch,PWb1,1,28772.491
Pro-Weakening branch,PWb2,1,28772.469
Pro-Weakening branch,PWb3,3,"28772.238,28772.242,28772.240"
