Branch_Type,Branch_ID,Size,Arguments
# Debate File:,26786_T1of1_26786.1.json,,
# Target Argument:,26786.1,,
# Total Branches:,18,,

Pro-branch,Pb1,1,26786.2
Pro-branch,Pb2,1,26786.3
Pro-branch,Pb3,1,26786.4
Pro-branch,Pb4,1,26786.10
Con-branch,Cb1,1,26786.5
Con-branch,Cb2,1,26786.6
Con-branch,Cb3,1,26786.7
Con-branch,Cb4,1,26786.8
Con-branch,Cb5,1,26786.9
Unweakened Pro-branch,UnWPb1,1,26786.2
Unweakened Pro-branch,UnWPb2,1,26786.3
Unweakened Pro-branch,UnWPb3,1,26786.4
Unweakened Pro-branch,UnWPb4,1,26786.10
Unweakened Con-branch,UnWCb1,1,26786.5
Unweakened Con-branch,UnWCb2,1,26786.6
Unweakened Con-branch,UnWCb3,1,26786.7
Unweakened Con-branch,UnWCb4,1,26786.8
Unweakened Con-branch,UnWCb5,1,26786.9
