Branch_Type,Branch_ID,Size,Arguments
# Debate File:,15736_T1of1_15736.1.json,,
# Target Argument:,15736.1,,
# Total Branches:,30,,

Pro-branch,Pb1,3,"15736.2,15736.25,15736.26"
Pro-branch,Pb2,2,"15736.3,15736.19"
Pro-branch,Pb3,2,"15736.4,15736.13"
Pro-branch,Pb4,2,"15736.5,15736.17"
Pro-branch,Pb5,1,15736.11
Pro-branch,Pb6,1,15736.14
Con-branch,Cb1,2,"15736.6,15736.15"
Con-branch,Cb2,2,"15736.7,15736.20"
Con-branch,Cb3,1,15736.8
Con-branch,Cb4,2,"15736.9,15736.23"
Con-branch,Cb5,1,15736.10
Con-branch,Cb6,1,15736.18
Unweakened Pro-branch,UnWPb1,1,15736.2
Unweakened Pro-branch,UnWPb2,2,"15736.3,15736.19"
Unweakened Pro-branch,UnWPb3,1,15736.4
Unweakened Pro-branch,UnWPb4,1,15736.5
Unweakened Pro-branch,UnWPb5,1,15736.11
Unweakened Pro-branch,UnWPb6,1,15736.14
Unweakened Con-branch,UnWCb1,1,15736.6
Unweakened Con-branch,UnWCb2,1,15736.7
Unweakened Con-branch,UnWCb3,1,15736.8
Unweakened Con-branch,UnWCb4,1,15736.9
Unweakened Con-branch,UnWCb5,1,15736.10
Unweakened Con-branch,UnWCb6,1,15736.18
Pro-Weakening branch,PWb1,2,"15736.25,15736.26"
Pro-Weakening branch,PWb2,1,15736.13
Pro-Weakening branch,PWb3,1,15736.17
Con-Weakening branch,CWb1,1,15736.15
Con-Weakening branch,CWb2,1,15736.20
Con-Weakening branch,CWb3,1,15736.23
