Branch_Type,Branch_ID,Size,Arguments
# Debate File:,9143_T1of9_9143.28.json,,
# Target Argument:,9143.28,,
# Total Branches:,21,,

Pro-branch,Pb1,15,"9143.277,9143.474,9143.473,9143.1065,9143.1064,9143.472,9143.1066,9143.471,9143.470,9143.1072,9143.469,9143.433,9143.434,9143.152,9143.153"
Pro-branch,Pb2,5,"9143.612,9143.636,9143.623,9143.940,9143.622"
Pro-branch,Pb3,1,9143.633
Pro-branch,Pb4,1,9143.642
Pro-branch,Pb5,1,9143.690
Pro-branch,Pb6,1,9143.835
Con-branch,Cb1,4,"9143.573,9143.1031,9143.836,9143.575"
Unweakened Pro-branch,UnWPb1,7,"9143.277,9143.474,9143.472,9143.471,9143.470,9143.152,9143.153"
Unweakened Pro-branch,UnWPb2,5,"9143.612,9143.636,9143.623,9143.940,9143.622"
Unweakened Pro-branch,UnWPb3,1,9143.633
Unweakened Pro-branch,UnWPb4,1,9143.642
Unweakened Pro-branch,UnWPb5,1,9143.690
Unweakened Pro-branch,UnWPb6,1,9143.835
Unweakened Con-branch,UnWCb1,2,"9143.573,9143.1031"
Pro-Weakening branch,PWb1,2,"9143.433,9143.434"
Pro-Weakening branch,PWb2,1,9143.469
Pro-Weakening branch,PWb3,3,"9143.473,9143.1065,9143.1064"
Pro-Weakening branch,PWb4,1,9143.1072
Pro-Weakening branch,PWb5,1,9143.1066
Con-Weakening branch,CWb1,1,9143.575
Con-Weakening branch,CWb2,1,9143.836
