Branch_Type,Branch_ID,Size,Arguments
# Debate File:,1257_T48of152_1257.378.json,,
# Target Argument:,1257.378,,
# Total Branches:,15,,

Pro-branch,Pb1,2,"1257.522,1257.959"
Pro-branch,Pb2,1,1257.523
Pro-branch,Pb3,1,1257.721
Pro-branch,Pb4,1,1257.958
Con-branch,Cb1,2,"1257.720,1257.2026"
Con-branch,Cb2,1,1257.957
Con-branch,Cb3,1,1257.1019
Unweakened Pro-branch,UnWPb1,2,"1257.522,1257.959"
Unweakened Pro-branch,UnWPb2,1,1257.523
Unweakened Pro-branch,UnWPb3,1,1257.721
Unweakened Pro-branch,UnWPb4,1,1257.958
Unweakened Con-branch,UnWCb1,1,1257.720
Unweakened Con-branch,UnWCb2,1,1257.957
Unweakened Con-branch,UnWCb3,1,1257.1019
Con-Weakening branch,CWb1,1,1257.2026
