Branch_Type,Branch_ID,Size,Arguments
# Debate File:,16216_T1of1_16216.1.json,,
# Target Argument:,16216.1,,
# Total Branches:,23,,

Pro-branch,Pb1,3,"16216.2,16216.14,16216.32"
Pro-branch,Pb2,9,"16216.5,16216.18,16216.30,16216.9,16216.20,16216.21,16216.10,16216.22,16216.29"
Con-branch,Cb1,3,"16216.3,16216.28,16216.26"
Con-branch,Cb2,3,"16216.4,16216.27,16216.17"
Con-branch,Cb3,3,"16216.7,16216.16,16216.11"
Con-branch,Cb4,7,"16216.19,16216.6,16216.39,16216.12,16216.13,16216.31,16216.35"
Unweakened Pro-branch,UnWPb1,1,16216.2
Unweakened Pro-branch,UnWPb2,2,"16216.5,16216.22"
Unweakened Con-branch,UnWCb1,1,16216.3
Unweakened Con-branch,UnWCb2,1,16216.4
Unweakened Con-branch,UnWCb3,1,16216.7
Unweakened Con-branch,UnWCb4,5,"16216.19,16216.6,16216.39,16216.13,16216.31"
Pro-Weakening branch,PWb1,2,"16216.14,16216.32"
Pro-Weakening branch,PWb2,6,"16216.18,16216.30,16216.9,16216.20,16216.21,16216.10"
Pro-Weakening branch,PWb3,1,16216.29
Con-Weakening branch,CWb1,1,16216.26
Con-Weakening branch,CWb2,1,16216.28
Con-Weakening branch,CWb3,1,16216.17
Con-Weakening branch,CWb4,1,16216.27
Con-Weakening branch,CWb5,1,16216.11
Con-Weakening branch,CWb6,1,16216.16
Con-Weakening branch,CWb7,1,16216.35
Con-Weakening branch,CWb8,1,16216.12
