Branch_Type,Branch_ID,Size,Arguments
# Debate File:,10317_T1of1_10317.1.json,,
# Target Argument:,10317.1,,
# Total Branches:,27,,

Pro-branch,Pb1,3,"10317.2,10317.29,10317.28"
Pro-branch,Pb2,5,"10317.3,10317.7,10317.18,10317.6,10317.17"
Pro-branch,Pb3,3,"10317.20,10317.24,10317.26"
Con-branch,Cb1,6,"10317.5,10317.30,10317.14,10317.9,10317.8,10317.15"
Con-branch,Cb2,12,"10317.11,10317.4,10317.21,10317.22,10317.23,10317.16,10317.10,10317.32,10317.31,10317.13,10317.19,10317.12"
Con-branch,Cb3,1,10317.27
Con-branch,Cb4,1,10317.33
Unweakened Pro-branch,UnWPb1,2,"10317.2,10317.28"
Unweakened Pro-branch,UnWPb2,2,"10317.3,10317.7"
Unweakened Pro-branch,UnWPb3,1,10317.20
Unweakened Con-branch,UnWCb1,2,"10317.5,10317.8"
Unweakened Con-branch,UnWCb2,4,"10317.11,10317.4,10317.32,10317.31"
Unweakened Con-branch,UnWCb3,1,10317.27
Unweakened Con-branch,UnWCb4,1,10317.33
Pro-Weakening branch,PWb1,1,10317.29
Pro-Weakening branch,PWb2,2,"10317.6,10317.17"
Pro-Weakening branch,PWb3,2,"10317.24,10317.26"
Pro-Weakening branch,PWb4,1,10317.18
Con-Weakening branch,CWb1,1,10317.9
Con-Weakening branch,CWb2,1,10317.14
Con-Weakening branch,CWb3,1,10317.30
Con-Weakening branch,CWb4,1,10317.12
Con-Weakening branch,CWb5,2,"10317.13,10317.19"
Con-Weakening branch,CWb6,1,10317.15
Con-Weakening branch,CWb7,1,10317.10
Con-Weakening branch,CWb8,1,10317.16
Con-Weakening branch,CWb9,3,"10317.21,10317.22,10317.23"
