Branch_Type,Branch_ID,Size,Arguments
# Debate File:,59048_T4of4_59048.9.json,,
# Target Argument:,59048.9,,
# Total Branches:,11,,

Pro-branch,Pb1,3,"59048.23,59048.54,59048.52"
Pro-branch,Pb2,2,"59048.31,59048.33"
Con-branch,Cb1,1,59048.21
Con-branch,Cb2,2,"59048.29,59048.56"
Unweakened Pro-branch,UnWPb1,1,59048.23
Unweakened Pro-branch,UnWPb2,2,"59048.31,59048.33"
Unweakened Con-branch,UnWCb1,1,59048.21
Unweakened Con-branch,UnWCb2,1,59048.29
Pro-Weakening branch,PWb1,1,59048.52
Pro-Weakening branch,PWb2,1,59048.54
Con-Weakening branch,CWb1,1,59048.56
