Branch_Type,Branch_ID,Size,Arguments
# Debate File:,37608_T1of3_37608.5.json,,
# Target Argument:,37608.5,,
# Total Branches:,27,,

Pro-branch,Pb1,31,"37608.9,37608.222,37608.206,37608.208,37608.119,37608.210,37608.212,37608.145,37608.147,37608.149,37608.63,37608.175,37608.87,37608.91,37608.93,37608.89,37608.75,37608.77,37608.73,37608.131,37608.127,37608.121,37608.123,37608.79,37608.117,37608.115,37608.113,37608.65,37608.183,37608.173,37608.25"
Pro-branch,Pb2,2,"37608.11,37608.135"
Pro-branch,Pb3,3,"37608.61,37608.218,37608.81"
Pro-branch,Pb4,3,"37608.153,37608.163,37608.155"
Con-branch,Cb1,14,"37608.13,37608.187,37608.71,37608.143,37608.137,37608.31,37608.141,37608.33,37608.151,37608.181,37608.99,37608.101,37608.29,37608.133"
Con-branch,Cb2,8,"37608.103,37608.192,37608.194,37608.159,37608.224,37608.226,37608.230,37608.105"
Con-branch,Cb3,2,"37608.199,37608.216"
Unweakened Pro-branch,UnWPb1,5,"37608.9,37608.206,37608.208,37608.119,37608.25"
Unweakened Pro-branch,UnWPb2,2,"37608.11,37608.135"
Unweakened Pro-branch,UnWPb3,3,"37608.61,37608.218,37608.81"
Unweakened Pro-branch,UnWPb4,2,"37608.153,37608.163"
Unweakened Con-branch,UnWCb1,5,"37608.13,37608.31,37608.33,37608.99,37608.101"
Unweakened Con-branch,UnWCb2,2,"37608.103,37608.105"
Unweakened Con-branch,UnWCb3,1,37608.199
Pro-Weakening branch,PWb1,20,"37608.63,37608.175,37608.87,37608.91,37608.93,37608.89,37608.75,37608.77,37608.73,37608.131,37608.127,37608.121,37608.123,37608.79,37608.117,37608.115,37608.113,37608.65,37608.183,37608.173"
Pro-Weakening branch,PWb2,1,37608.222
Pro-Weakening branch,PWb3,1,37608.155
Pro-Weakening branch,PWb4,3,"37608.145,37608.147,37608.149"
Pro-Weakening branch,PWb5,2,"37608.210,37608.212"
Con-Weakening branch,CWb1,2,"37608.29,37608.133"
Con-Weakening branch,CWb2,3,"37608.71,37608.143,37608.137"
Con-Weakening branch,CWb3,1,37608.187
Con-Weakening branch,CWb4,4,"37608.159,37608.224,37608.226,37608.230"
Con-Weakening branch,CWb5,2,"37608.192,37608.194"
Con-Weakening branch,CWb6,1,37608.216
Con-Weakening branch,CWb7,1,37608.141
Con-Weakening branch,CWb8,2,"37608.151,37608.181"
