Branch_Type,Branch_ID,Size,Arguments
# Debate File:,42078_T3of3_42078.7.json,,
# Target Argument:,42078.7,,
# Total Branches:,12,,

Pro-branch,Pb1,2,"42078.23,42078.47"
Con-branch,Cb1,2,"42078.19,42078.31"
Con-branch,Cb2,10,"42078.21,42078.49,42078.81,42078.79,42078.43,42078.45,42078.29,42078.83,42078.85,42078.27"
Con-branch,Cb3,3,"42078.73,42078.77,42078.75"
Unweakened Pro-branch,UnWPb1,1,42078.23
Unweakened Con-branch,UnWCb1,1,42078.19
Unweakened Con-branch,UnWCb2,5,"42078.21,42078.43,42078.45,42078.29,42078.27"
Unweakened Con-branch,UnWCb3,3,"42078.73,42078.77,42078.75"
Pro-Weakening branch,PWb1,1,42078.47
Con-Weakening branch,CWb1,1,42078.31
Con-Weakening branch,CWb2,3,"42078.49,42078.81,42078.79"
Con-Weakening branch,CWb3,2,"42078.83,42078.85"
