Branch_Type,Branch_ID,Size,Arguments
# Debate File:,49036_T6of11_49036.13.json,,
# Target Argument:,49036.13,,
# Total Branches:,10,,

Pro-branch,Pb1,5,"49036.21,49036.196,49036.198,49036.192,49036.190"
Pro-branch,Pb2,1,49036.54
Pro-branch,Pb3,4,"49036.160,49036.162,49036.166,49036.164"
Con-branch,Cb1,1,49036.23
Unweakened Pro-branch,UnWPb1,3,"49036.21,49036.192,49036.190"
Unweakened Pro-branch,UnWPb2,1,49036.54
Unweakened Pro-branch,UnWPb3,1,49036.160
Unweakened Con-branch,UnWCb1,1,49036.23
Pro-Weakening branch,PWb1,2,"49036.196,49036.198"
Pro-Weakening branch,PWb2,3,"49036.162,49036.166,49036.164"
