Branch_Type,Branch_ID,Size,Arguments
# Debate File:,28772_T4of23_28772.4.json,,
# Target Argument:,28772.4,,
# Total Branches:,12,,

Pro-branch,Pb1,5,"28772.10,28772.337,28772.36,28772.25,28772.26"
Pro-branch,Pb2,2,"28772.551,28772.608"
Con-branch,Cb1,4,"28772.122,28772.142,28772.186,28772.184"
Con-branch,Cb2,1,28772.545
Con-branch,Cb3,2,"28772.564,28772.499"
Unweakened Pro-branch,UnWPb1,3,"28772.10,28772.337,28772.25"
Unweakened Pro-branch,UnWPb2,2,"28772.551,28772.608"
Unweakened Con-branch,UnWCb1,4,"28772.122,28772.142,28772.186,28772.184"
Unweakened Con-branch,UnWCb2,1,28772.545
Unweakened Con-branch,UnWCb3,2,"28772.564,28772.499"
Pro-Weakening branch,PWb1,1,28772.36
Pro-Weakening branch,PWb2,1,28772.26
