Branch_Type,Branch_ID,Size,Arguments
# Debate File:,26246_T1of1_26246.1.json,,
# Target Argument:,26246.1,,
# Total Branches:,26,,

Pro-branch,Pb1,33,"26246.48,26246.176,26246.113,26246.120,26246.119,26246.180,26246.179,26246.178,26246.177,26246.118,26246.87,26246.89,26246.312,26246.169,26246.106,26246.88,26246.42,26246.73,26246.55,26246.75,26246.41,26246.52,26246.76,26246.54,26246.63,26246.53,26246.315,26246.168,26246.45,26246.44,26246.50,26246.49,26246.62"
Con-branch,Cb1,21,"26246.22,26246.310,26246.26,26246.67,26246.66,26246.65,26246.74,26246.318,26246.147,26246.130,26246.31,26246.86,26246.100,26246.101,26246.99,26246.25,26246.64,26246.32,26246.24,26246.58,26246.23"
Con-branch,Cb2,43,"26246.68,26246.91,26246.83,26246.182,26246.161,26246.160,26246.157,26246.159,26246.158,26246.126,26246.131,26246.84,26246.85,26246.77,26246.82,26246.81,26246.79,26246.78,26246.115,26246.181,26246.165,26246.175,26246.129,26246.114,26246.123,26246.166,26246.122,26246.172,26246.121,26246.150,26246.146,26246.125,26246.124,26246.108,26246.80,26246.90,26246.72,26246.69,26246.104,26246.103,26246.102,26246.96,26246.105"
Con-branch,Cb3,1,26246.70
Unweakened Pro-branch,UnWPb1,6,"26246.48,26246.113,26246.87,26246.89,26246.50,26246.49"
Unweakened Con-branch,UnWCb1,3,"26246.22,26246.310,26246.23"
Unweakened Con-branch,UnWCb2,6,"26246.68,26246.72,26246.69,26246.104,26246.103,26246.102"
Unweakened Con-branch,UnWCb3,1,26246.70
Pro-Weakening branch,PWb1,9,"26246.52,26246.76,26246.54,26246.63,26246.53,26246.315,26246.168,26246.45,26246.44"
Pro-Weakening branch,PWb2,3,"26246.55,26246.75,26246.41"
Pro-Weakening branch,PWb3,1,26246.176
Pro-Weakening branch,PWb4,1,26246.62
Pro-Weakening branch,PWb5,2,"26246.42,26246.73"
Pro-Weakening branch,PWb6,1,26246.88
Pro-Weakening branch,PWb7,1,26246.118
Pro-Weakening branch,PWb8,5,"26246.119,26246.180,26246.179,26246.178,26246.177"
Pro-Weakening branch,PWb9,1,26246.120
Pro-Weakening branch,PWb10,1,26246.106
Pro-Weakening branch,PWb11,1,26246.169
Pro-Weakening branch,PWb12,1,26246.312
Con-Weakening branch,CWb1,2,"26246.24,26246.58"
Con-Weakening branch,CWb2,3,"26246.25,26246.64,26246.32"
Con-Weakening branch,CWb3,13,"26246.26,26246.67,26246.66,26246.65,26246.74,26246.318,26246.147,26246.130,26246.31,26246.86,26246.100,26246.101,26246.99"
Con-Weakening branch,CWb4,1,26246.90
Con-Weakening branch,CWb5,34,"26246.91,26246.83,26246.182,26246.161,26246.160,26246.157,26246.159,26246.158,26246.126,26246.131,26246.84,26246.85,26246.77,26246.82,26246.81,26246.79,26246.78,26246.115,26246.181,26246.165,26246.175,26246.129,26246.114,26246.123,26246.166,26246.122,26246.172,26246.121,26246.150,26246.146,26246.125,26246.124,26246.108,26246.80"
Con-Weakening branch,CWb6,2,"26246.96,26246.105"
