Branch_Type,Branch_ID,Size,Arguments
# Debate File:,58880_T1of1_58880.3.json,,
# Target Argument:,58880.3,,
# Total Branches:,41,,

Pro-branch,Pb1,21,"58880.79,58880.188,58880.209,58880.202,58880.207,58880.204,58880.122,58880.246,58880.241,58880.87,58880.257,58880.221,58880.229,58880.227,58880.225,58880.223,58880.219,58880.83,58880.190,58880.89,58880.85"
Pro-branch,Pb2,20,"58880.77,58880.130,58880.231,58880.132,58880.111,58880.235,58880.233,58880.31,58880.61,58880.250,58880.63,58880.59,58880.33,58880.13,58880.73,58880.23,58880.109,58880.237,58880.244,58880.239"
Pro-branch,Pb3,19,"58880.81,58880.281,58880.287,58880.285,58880.164,58880.213,58880.211,58880.148,58880.166,58880.158,58880.162,58880.160,58880.152,58880.156,58880.154,58880.150,58880.91,58880.217,58880.215"
Con-branch,Cb1,15,"58880.15,58880.146,58880.200,58880.198,58880.144,58880.124,58880.263,58880.261,58880.194,58880.192,58880.265,58880.69,58880.21,58880.196,58880.25"
Con-branch,Cb2,24,"58880.117,58880.174,58880.170,58880.259,58880.184,58880.172,58880.254,58880.176,58880.134,58880.186,58880.182,58880.180,58880.178,58880.136,58880.11,58880.93,58880.97,58880.252,58880.99,58880.95,58880.75,58880.53,58880.65,58880.55"
Con-branch,Cb3,19,"58880.120,58880.279,58880.277,58880.5,58880.272,58880.9,58880.7,58880.268,58880.71,58880.67,58880.37,58880.127,58880.270,58880.57,58880.289,58880.105,58880.138,58880.142,58880.140"
Unweakened Pro-branch,UnWPb1,6,"58880.79,58880.122,58880.241,58880.87,58880.257,58880.219"
Unweakened Pro-branch,UnWPb2,5,"58880.77,58880.31,58880.59,58880.13,58880.73"
Unweakened Pro-branch,UnWPb3,7,"58880.81,58880.281,58880.285,58880.148,58880.152,58880.154,58880.150"
Unweakened Con-branch,UnWCb1,3,"58880.15,58880.144,58880.69"
Unweakened Con-branch,UnWCb2,6,"58880.117,58880.174,58880.176,58880.11,58880.53,58880.65"
Unweakened Con-branch,UnWCb3,6,"58880.120,58880.279,58880.5,58880.272,58880.127,58880.270"
Pro-Weakening branch,PWb1,4,"58880.83,58880.190,58880.89,58880.85"
Pro-Weakening branch,PWb2,5,"58880.188,58880.209,58880.202,58880.207,58880.204"
Pro-Weakening branch,PWb3,3,"58880.111,58880.235,58880.233"
Pro-Weakening branch,PWb4,3,"58880.130,58880.231,58880.132"
Pro-Weakening branch,PWb5,3,"58880.91,58880.217,58880.215"
Pro-Weakening branch,PWb6,3,"58880.164,58880.213,58880.211"
Pro-Weakening branch,PWb7,5,"58880.221,58880.229,58880.227,58880.225,58880.223"
Pro-Weakening branch,PWb8,1,58880.246
Pro-Weakening branch,PWb9,5,"58880.23,58880.109,58880.237,58880.244,58880.239"
Pro-Weakening branch,PWb10,1,58880.33
Pro-Weakening branch,PWb11,3,"58880.61,58880.250,58880.63"
Pro-Weakening branch,PWb12,3,"58880.158,58880.162,58880.160"
Pro-Weakening branch,PWb13,1,58880.166
Pro-Weakening branch,PWb14,1,58880.287
Pro-Weakening branch,PWb15,1,58880.156
Con-Weakening branch,CWb1,3,"58880.21,58880.196,58880.25"
Con-Weakening branch,CWb2,3,"58880.146,58880.200,58880.198"
Con-Weakening branch,CWb3,6,"58880.134,58880.186,58880.182,58880.180,58880.178,58880.136"
Con-Weakening branch,CWb4,3,"58880.138,58880.142,58880.140"
Con-Weakening branch,CWb5,1,58880.277
Con-Weakening branch,CWb6,1,58880.265
Con-Weakening branch,CWb7,5,"58880.124,58880.263,58880.261,58880.194,58880.192"
Con-Weakening branch,CWb8,1,58880.75
Con-Weakening branch,CWb9,5,"58880.93,58880.97,58880.252,58880.99,58880.95"
Con-Weakening branch,CWb10,1,58880.254
Con-Weakening branch,CWb11,4,"58880.170,58880.259,58880.184,58880.172"
Con-Weakening branch,CWb12,3,"58880.57,58880.289,58880.105"
Con-Weakening branch,CWb13,1,58880.55
Con-Weakening branch,CWb14,6,"58880.9,58880.7,58880.268,58880.71,58880.67,58880.37"
