Branch_Type,Branch_ID,Size,Arguments
# Debate File:,13173_T1of1_13173.1.json,,
# Target Argument:,13173.1,,
# Total Branches:,53,,

Pro-branch,Pb1,40,"13173.7,13173.639,13173.824,13173.645,13173.731,13173.66,13173.643,13173.733,13173.108,13173.641,13173.633,13173.637,13173.20,13173.628,13173.631,13173.38,13173.565,13173.601,13173.599,13173.89,13173.6,13173.586,13173.595,13173.593,13173.591,13173.37,13173.170,13173.568,13173.597,13173.391,13173.582,13173.572,13173.576,13173.580,13173.578,13173.574,13173.570,13173.24,13173.560,13173.22"
Pro-branch,Pb2,40,"13173.26,13173.549,13173.553,13173.551,13173.547,13173.535,13173.545,13173.537,13173.543,13173.541,13173.539,13173.4,13173.501,13173.820,13173.30,13173.503,13173.39,13173.518,13173.512,13173.510,13173.507,13173.505,13173.55,13173.523,13173.521,13173.53,13173.21,13173.516,13173.514,13173.455,13173.557,13173.531,13173.27,13173.555,13173.526,13173.34,13173.528,13173.75,13173.62,13173.61"
Pro-branch,Pb3,28,"13173.439,13173.800,13173.806,13173.804,13173.802,13173.614,13173.603,13173.610,13173.425,13173.607,13173.605,13173.457,13173.329,13173.654,13173.620,13173.624,13173.618,13173.612,13173.10,13173.652,13173.650,13173.648,13173.23,13173.19,13173.445,13173.798,13173.796,13173.794"
Con-branch,Cb1,30,"13173.48,13173.701,13173.808,13173.814,13173.812,13173.810,13173.709,13173.707,13173.705,13173.703,13173.533,13173.28,13173.60,13173.139,13173.720,13173.126,13173.32,13173.725,13173.33,13173.135,13173.2,13173.192,13173.163,13173.155,13173.716,13173.714,13173.712,13173.103,13173.718,13173.119"
Con-branch,Cb2,34,"13173.56,13173.490,13173.657,13173.494,13173.492,13173.144,13173.671,13173.91,13173.199,13173.663,13173.669,13173.667,13173.665,13173.93,13173.197,13173.684,13173.149,13173.69,13173.682,13173.680,13173.465,13173.148,13173.145,13173.688,13173.694,13173.176,13173.692,13173.422,13173.418,13173.686,13173.159,13173.393,13173.143,13173.146"
Con-branch,Cb3,45,"13173.71,13173.735,13173.739,13173.737,13173.496,13173.142,13173.792,13173.128,13173.790,13173.125,13173.161,13173.469,13173.786,13173.784,13173.162,13173.131,13173.74,13173.782,13173.179,13173.357,13173.778,13173.375,13173.770,13173.774,13173.54,13173.768,13173.766,13173.88,13173.40,13173.196,13173.459,13173.122,13173.753,13173.678,13173.757,13173.755,13173.750,13173.443,13173.463,13173.461,13173.90,13173.747,13173.745,13173.743,13173.741"
