Branch_Type,Branch_ID,Size,Arguments
# Debate File:,9131_T4of7_9131.4.json,,
# Target Argument:,9131.4,,
# Total Branches:,19,,

Pro-branch,Pb1,7,"9131.42,9131.489,9131.551,9131.459,9131.472,9131.232,9131.231"
Pro-branch,Pb2,11,"9131.43,9131.572,9131.567,9131.559,9131.471,9131.475,9131.458,9131.57,9131.515,9131.446,9131.222"
Pro-branch,Pb3,1,9131.145
Pro-branch,Pb4,1,9131.147
Con-branch,Cb1,3,"9131.146,9131.636,9131.428"
Con-branch,Cb2,2,"9131.148,9131.470"
Unweakened Pro-branch,UnWPb1,4,"9131.42,9131.489,9131.459,9131.231"
Unweakened Pro-branch,UnWPb2,6,"9131.43,9131.572,9131.567,9131.559,9131.475,9131.458"
Unweakened Pro-branch,UnWPb3,1,9131.145
Unweakened Pro-branch,UnWPb4,1,9131.147
Unweakened Con-branch,UnWCb1,1,9131.146
Unweakened Con-branch,UnWCb2,1,9131.148
Pro-Weakening branch,PWb1,1,9131.232
Pro-Weakening branch,PWb2,1,9131.472
Pro-Weakening branch,PWb3,4,"9131.57,9131.515,9131.446,9131.222"
Pro-Weakening branch,PWb4,1,9131.551
Con-Weakening branch,CWb1,1,9131.428
Con-Weakening branch,CWb2,1,9131.636
Con-Weakening branch,CWb3,1,9131.470
