Branch_Type,Branch_ID,Size,Arguments
# Debate File:,17100_T1of1_17100.1.json,,
# Target Argument:,17100.1,,
# Total Branches:,36,,

Pro-branch,Pb1,4,"17100.2,17100.219,17100.7,17100.3"
Pro-branch,Pb2,43,"17100.16,17100.225,17100.153,17100.202,17100.186,17100.194,17100.192,17100.184,17100.188,17100.182,17100.196,17100.236,17100.176,17100.198,17100.180,17100.29,17100.223,17100.234,17100.232,17100.221,17100.230,17100.11,17100.131,17100.28,17100.4,17100.23,17100.22,17100.35,17100.10,17100.15,17100.24,17100.9,17100.53,17100.60,17100.49,17100.36,17100.50,17100.37,17100.31,17100.40,17100.39,17100.38,17100.17"
Pro-branch,Pb3,7,"17100.146,17100.228,17100.12,17100.25,17100.140,17100.142,17100.144"
Con-branch,Cb1,4,"17100.5,17100.34,17100.32,17100.33"
Con-branch,Cb2,4,"17100.6,17100.161,17100.26,17100.8"
Con-branch,Cb3,32,"17100.98,17100.206,17100.208,17100.210,17100.94,17100.115,17100.106,17100.157,17100.172,17100.168,17100.190,17100.164,17100.166,17100.151,17100.112,17100.108,17100.170,17100.110,17100.155,17100.102,17100.96,17100.136,17100.174,17100.138,17100.104,17100.128,17100.125,17100.117,17100.119,17100.123,17100.121,17100.134"
Con-branch,Cb4,2,"17100.204,17100.212"
Unweakened Pro-branch,UnWPb1,3,"17100.2,17100.219,17100.7"
Unweakened Pro-branch,UnWPb2,17,"17100.16,17100.225,17100.29,17100.221,17100.11,17100.131,17100.4,17100.22,17100.35,17100.10,17100.15,17100.24,17100.9,17100.31,17100.40,17100.38,17100.17"
Unweakened Pro-branch,UnWPb3,4,"17100.146,17100.140,17100.142,17100.144"
Unweakened Con-branch,UnWCb1,1,17100.5
Unweakened Con-branch,UnWCb2,3,"17100.6,17100.161,17100.8"
Unweakened Con-branch,UnWCb3,16,"17100.98,17100.206,17100.208,17100.94,17100.115,17100.106,17100.151,17100.112,17100.108,17100.110,17100.102,17100.96,17100.136,17100.138,17100.104,17100.125"
Unweakened Con-branch,UnWCb4,1,17100.204
Pro-Weakening branch,PWb1,1,17100.3
Pro-Weakening branch,PWb2,13,"17100.153,17100.202,17100.186,17100.194,17100.192,17100.184,17100.188,17100.182,17100.196,17100.236,17100.176,17100.198,17100.180"
Pro-Weakening branch,PWb3,2,"17100.12,17100.25"
Pro-Weakening branch,PWb4,1,17100.228
Pro-Weakening branch,PWb5,2,"17100.50,17100.37"
Pro-Weakening branch,PWb6,4,"17100.53,17100.60,17100.49,17100.36"
Pro-Weakening branch,PWb7,1,17100.28
Pro-Weakening branch,PWb8,3,"17100.223,17100.234,17100.232"
Pro-Weakening branch,PWb9,1,17100.39
Pro-Weakening branch,PWb10,1,17100.23
Pro-Weakening branch,PWb11,1,17100.230
Con-Weakening branch,CWb1,2,"17100.32,17100.33"
Con-Weakening branch,CWb2,1,17100.34
Con-Weakening branch,CWb3,1,17100.26
Con-Weakening branch,CWb4,1,17100.212
Con-Weakening branch,CWb5,5,"17100.117,17100.119,17100.123,17100.121,17100.134"
Con-Weakening branch,CWb6,1,17100.128
Con-Weakening branch,CWb7,1,17100.174
Con-Weakening branch,CWb8,6,"17100.157,17100.172,17100.168,17100.190,17100.164,17100.166"
Con-Weakening branch,CWb9,1,17100.210
Con-Weakening branch,CWb10,1,17100.170
Con-Weakening branch,CWb11,1,17100.155
