Branch_Type,Branch_ID,Size,Arguments
# Debate File:,41129_T1of1_41129.3.json,,
# Target Argument:,41129.3,,
# Total Branches:,32,,

Pro-branch,Pb1,3,"41129.9,41129.35,41129.25"
Pro-branch,Pb2,1,41129.13
Pro-branch,Pb3,4,"41129.37,41129.92,41129.87,41129.89"
Con-branch,Cb1,2,"41129.11,41129.63"
Con-branch,Cb2,25,"41129.15,41129.73,41129.83,41129.85,41129.79,41129.75,41129.81,41129.77,41129.43,41129.94,41129.65,41129.71,41129.69,41129.67,41129.57,41129.61,41129.59,41129.55,41129.49,41129.45,41129.51,41129.47,41129.53,41129.104,41129.29"
Con-branch,Cb3,5,"41129.17,41129.41,41129.39,41129.33,41129.23"
Con-branch,Cb4,4,"41129.19,41129.27,41129.100,41129.21"
Con-branch,Cb5,2,"41129.96,41129.98"
Con-branch,Cb6,1,41129.31
Unweakened Pro-branch,UnWPb1,3,"41129.9,41129.35,41129.25"
Unweakened Pro-branch,UnWPb2,1,41129.13
Unweakened Pro-branch,UnWPb3,2,"41129.37,41129.92"
Unweakened Con-branch,UnWCb1,1,41129.11
Unweakened Con-branch,UnWCb2,7,"41129.15,41129.43,41129.94,41129.57,41129.59,41129.45,41129.51"
Unweakened Con-branch,UnWCb3,2,"41129.17,41129.41"
Unweakened Con-branch,UnWCb4,2,"41129.19,41129.27"
Unweakened Con-branch,UnWCb5,1,41129.96
Unweakened Con-branch,UnWCb6,1,41129.31
Pro-Weakening branch,PWb1,2,"41129.87,41129.89"
Con-Weakening branch,CWb1,1,41129.63
Con-Weakening branch,CWb2,1,41129.29
Con-Weakening branch,CWb3,7,"41129.73,41129.83,41129.85,41129.79,41129.75,41129.81,41129.77"
Con-Weakening branch,CWb4,1,41129.23
Con-Weakening branch,CWb5,1,41129.33
Con-Weakening branch,CWb6,1,41129.39
Con-Weakening branch,CWb7,1,41129.21
Con-Weakening branch,CWb8,1,41129.98
Con-Weakening branch,CWb9,2,"41129.55,41129.49"
Con-Weakening branch,CWb10,4,"41129.65,41129.71,41129.69,41129.67"
Con-Weakening branch,CWb11,1,41129.100
Con-Weakening branch,CWb12,3,"41129.47,41129.53,41129.104"
Con-Weakening branch,CWb13,1,41129.61
