Branch_Type,Branch_ID,Size,Arguments
# Debate File:,22187_T3of3_22187.3.json,,
# Target Argument:,22187.3,,
# Total Branches:,13,,

Pro-branch,Pb1,1,22187.18
Pro-branch,Pb2,1,22187.26
Pro-branch,Pb3,1,22187.30
Pro-branch,Pb4,1,22187.140
Pro-branch,Pb5,3,"22187.152,22187.166,22187.168"
Con-branch,Cb1,1,22187.21
Unweakened Pro-branch,UnWPb1,1,22187.18
Unweakened Pro-branch,UnWPb2,1,22187.26
Unweakened Pro-branch,UnWPb3,1,22187.30
Unweakened Pro-branch,UnWPb4,1,22187.140
Unweakened Pro-branch,UnWPb5,1,22187.152
Unweakened Con-branch,UnWCb1,1,22187.21
Pro-Weakening branch,PWb1,2,"22187.166,22187.168"
