Branch_Type,Branch_ID,Size,Arguments
# Debate File:,16601_T1of1_16601.1.json,,
# Target Argument:,16601.1,,
# Total Branches:,27,,

Pro-branch,Pb1,1,16601.5
Pro-branch,Pb2,1,16601.7
Pro-branch,Pb3,6,"16601.9,16601.24,16601.28,16601.3,16601.21,16601.10"
Pro-branch,Pb4,3,"16601.12,16601.14,16601.13"
Con-branch,Cb1,3,"16601.4,16601.22,16601.16"
Con-branch,Cb2,3,"16601.6,16601.18,16601.23"
Con-branch,Cb3,3,"16601.19,16601.27,16601.20"
Con-branch,Cb4,1,16601.61
Con-branch,Cb5,5,"16601.63,16601.8,16601.2,16601.17,16601.11"
Unweakened Pro-branch,UnWPb1,1,16601.5
Unweakened Pro-branch,UnWPb2,1,16601.7
Unweakened Pro-branch,UnWPb3,4,"16601.9,16601.24,16601.3,16601.10"
Unweakened Pro-branch,UnWPb4,3,"16601.12,16601.14,16601.13"
Unweakened Con-branch,UnWCb1,1,16601.4
Unweakened Con-branch,UnWCb2,1,16601.6
Unweakened Con-branch,UnWCb3,1,16601.19
Unweakened Con-branch,UnWCb4,1,16601.61
Unweakened Con-branch,UnWCb5,3,"16601.63,16601.8,16601.2"
Pro-Weakening branch,PWb1,1,16601.21
Pro-Weakening branch,PWb2,1,16601.28
Con-Weakening branch,CWb1,1,16601.16
Con-Weakening branch,CWb2,1,16601.22
Con-Weakening branch,CWb3,2,"16601.18,16601.23"
Con-Weakening branch,CWb4,1,16601.20
Con-Weakening branch,CWb5,1,16601.27
Con-Weakening branch,CWb6,1,16601.11
Con-Weakening branch,CWb7,1,16601.17
